row_id,model,split,book_filter,scroll,target_word,target_fit_frequency,target_position,context_for_reading,raw_context,model_top1,model_top2,model_top3,model_top4,model_top5,all_top5,case_status,likely_issue,reader_note
11,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,ברית,76,18,מחשבת צדק איש ל בעצת קודש ובני סוד עולמים וכול המואס לבוא ב ⬚⬚⬚ אל ללכת בשרירות לוא יעבור ביחד כיא געלה ביסורי דעת משפטי צדק,מחשבת צדק איש ל ב עצת קודש ו בני סוד עולמים ו כול ה מואס ל בוא ב ⬚⬚⬚ אל ל לכת ב שרירות לוא יעבור ב יחד כיא געלה ב יסורי דעת משפטי צדק,רוח,דעת,אל,רצון,תורת,רוח | דעת | אל | רצון | תורת,miss,same_length_semantic,Model prefers another plausible word of similar length.
12,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,יעבור,6,18,ובני סוד עולמים וכול המואס לבוא בברית אל ללכת בשרירות לוא ⬚⬚⬚ ביחד כיא געלה ביסורי דעת משפטי צדק לוא חזק למשוב ו עם,ו בני סוד עולמים ו כול ה מואס ל בוא ב ברית אל ל לכת ב שרירות לוא ⬚⬚⬚ ב יחד כיא געלה ב יסורי דעת משפטי צדק לוא חזק ל משוב ו עם,בא,שלם,תשב,נכון,רע,בא | שלם | תשב | נכון | רע,miss,particle_or_too_short,Top guess is much shorter than the gold word.
13,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,רע,43,15,והואה ידע פעולת לכול קצי ו לבני איש לדעת טוב ו ⬚⬚⬚ להפיל גורלות לכול חי ל פי ביום מועד הפקודה ו זה הסרך ל,ו הואה ידע פעולת ל כול קצי ו ל בני איש ל דעת טוב ו ⬚⬚⬚ ל הפיל גורלות ל כול חי ל פי ב יום מועד ה פקודה ו זה ה סרך ל,כול,כל,אל,איש,אשר,כול | כל | אל | איש | אשר,miss,same_length_semantic,Model prefers another plausible word of similar length.
14,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,מועד,50,18,לבני איש לדעת טוב ו רע להפיל גורלות לכול חי ל פי ביום ⬚⬚⬚ הפקודה ו זה הסרך לאנשי היחד המתנדבים לשוב מכול רע ו ל,ל בני איש ל דעת טוב ו רע ל הפיל גורלות ל כול חי ל פי ב יום ⬚⬚⬚ ה פקודה ו זה ה סרך ל אנשי ה יחד ה מתנדבים ל שוב מ כול רע ו ל,יום,כול,אל,על,ים,יום | כול | אל | על | ים,miss,other_miss,Miss without a simple short/rare/same-length explanation.
15,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,קשה,6,18,אמת וענוה ואהבת חסד לאיש אל ידבר ב אפ או בתלונה או בעורפ ⬚⬚⬚ או בקנאת רוח רשע ו אל בעורלת כיא ב ולוא ישא,אמת ו ענוה ו אהבת חסד ל איש אל ידבר ב אפ או ב תלונה או ב עורפ ⬚⬚⬚ או ב קנאת רוח רשע ו אל ב עורלת כיא ב ו לוא ישא,רוח,ריב,איש,לב,אל,רוח | ריב | איש | לב | אל,miss,same_length_semantic,Model prefers another plausible word of similar length.
16,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,או,236,18,וענוה ואהבת חסד לאיש אל ידבר ב אפ או בתלונה או בעורפ קשה ⬚⬚⬚ בקנאת רוח רשע ו אל בעורלת כיא ב ולוא ישא,ו ענוה ו אהבת חסד ל איש אל ידבר ב אפ או ב תלונה או ב עורפ קשה ⬚⬚⬚ ב קנאת רוח רשע ו אל ב עורלת כיא ב ו לוא ישא,או,על,ו,לב,איש,או | על | ו | לב | איש,hit,exact_top1_hit,The model's first guess is exactly correct.
17,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,מובדל,2,15,באמרות את פי הכתוב להושיעה ונאנעש ונענש שנה אחת ו ⬚⬚⬚ ואשר יזכיר דבר ב שם הנכבד על כול ה ו אם קלל או להבעת,ב אמרות את פי ה כתוב ל הושיעה ו נאנעש ו נענש שנה אחת ו ⬚⬚⬚ ו אשר יזכיר דבר ב שם ה נכבד על כול ה ו אם קלל או ל הבעת,על,כול,כל,אשר,איש,על | כול | כל | אשר | איש,miss,particle_or_too_short,Top guess is much shorter than the gold word.
18,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,ערב,53,16,עצת היחד עוד ואיש מאנשי היחד אשר יתערב ב או באשר ⬚⬚⬚ עם הון הרבים והיה לשלח בעצת היחד שנים עשר איש ו,עצת ה יחד עוד ו איש מ אנשי ה יחד אשר יתערב ב או ב אשר ⬚⬚⬚ עם הון ה רבים ו היה ל שלח ב עצת ה יחד שנים עשר איש ו,יתערב,יהיה,ילך,יבוא,יהיו,יתערב | יהיה | ילך | יבוא | יהיו,miss,same_length_semantic,Model prefers another plausible word of similar length.
19,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,עם,331,16,היחד עוד ואיש מאנשי היחד אשר יתערב ב או באשר ערב ⬚⬚⬚ הון הרבים והיה לשלח בעצת היחד שנים עשר איש וכוהנים,ה יחד עוד ו איש מ אנשי ה יחד אשר יתערב ב או ב אשר ערב ⬚⬚⬚ הון ה רבים ו היה ל שלח ב עצת ה יחד שנים עשר איש ו כוהנים,את,עם,כל,על,בו,את | עם | כל | על | בו,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
20,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,הון,41,16,יחד עוד ואיש מאנשי היחד אשר יתערב ב או באשר ערב עם ⬚⬚⬚ הרבים והיה לשלח בעצת היחד שנים עשר איש וכוהנים שלושה,יחד עוד ו איש מ אנשי ה יחד אשר יתערב ב או ב אשר ערב עם ⬚⬚⬚ ה רבים ו היה ל שלח ב עצת ה יחד שנים עשר איש ו כוהנים שלושה,אנשי,בני,איש,אנשים,כול,אנשי | בני | איש | אנשים | כול,miss,same_length_semantic,Model prefers another plausible word of similar length.
21,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,פי,67,18,ולוא ישאל על כול עצה שנתים ימים אמ תתם במושב במדרש ו בעצה על ⬚⬚⬚ הרבים אם לוא שגג עוד עד מולאת שנתים ימים כיא על שגגה אחת יענש שנתים ו,ו לוא ישאל על כול עצה שנתים ימים אמ תתם ב מושב ב מדרש ו ב עצה על ⬚⬚⬚ ה רבים אם לוא שגג עוד עד מולאת שנתים ימים כיא על שגגה אחת יענש שנתים ו,ימים,כול,שנים,כל,שגגה,ימים | כול | שנים | כל | שגגה,miss,same_length_semantic,Model prefers another plausible word of similar length.
22,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,תרומת,5,16,לוא צוה ו למשפט אל יצפה תמיד קה יברך ו בכול אשר יהיה יספר ⬚⬚⬚ שפתים עם קצים אשהר חקק א ברשית ממשלת אור עם ו ב על מעון,לוא צוה ו ל משפט אל יצפה תמיד קה יברך ו ב כול אשר יהיה יספר ⬚⬚⬚ שפתים עם קצים אשהר חקק א ב רשית ממשלת אור עם ו ב על מעון,דבר,על,עם,בדבר,מתק,דבר | על | עם | בדבר | מתק,miss,particle_or_too_short,Top guess is much shorter than the gold word.
23,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,לב,59,17,אל אחלקה חוק ב קו עתים וצדק אהבת חסד לניכנעים וחזוק ידים לנמהרי ⬚⬚⬚ ו ללמד לתועי רוח בינה ו להשכיל רוכנים בלקח ו להשיב ענוה לנגד רמי,אל אחלקה חוק ב קו עתים ו צדק אהבת חסד ל ניכנעים ו חזוק ידים ל נמהרי ⬚⬚⬚ ו ל למד ל תועי רוח בינה ו ל השכיל רוכנים ב לקח ו ל השיב ענוה ל נגד רמי,לב,דעת,רוח,מדע,תושיה,לב | דעת | רוח | מדע | תושיה,hit,exact_top1_hit,The model's first guess is exactly correct.
24,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,למד,1,18,חוק ב קו עתים וצדק אהבת חסד לניכנעים וחזוק ידים לנמהרי לב ו ל ⬚⬚⬚ לתועי רוח בינה ו להשכיל רוכנים בלקח ו להשיב ענוה לנגד רמי רוח ו ב,חוק ב קו עתים ו צדק אהבת חסד ל ניכנעים ו חזוק ידים ל נמהרי לב ו ל ⬚⬚⬚ ל תועי רוח בינה ו ל השכיל רוכנים ב לקח ו ל השיב ענוה ל נגד רמי רוח ו ב,דעת,לב,רוח,חכם,כל,דעת | לב | רוח | חכם | כל,miss,rare_or_unseen,Gold word is very rare or unseen in the fit partition.
25,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,חמס,10,16,למה און ועמל תביט על אשר הביט אל בעשק ומעל ושוד ו ⬚⬚⬚ ליגזולו הון ויהי ריב ומדון ישא פשר מריבה וחשבה הואה,למה און ו עמל תביט על אשר הביט אל ב עשק ו מעל ו שוד ו ⬚⬚⬚ ל יגזולו הון ו יהי ריב ו מדון ישא פשר מריבה ו חשבה הואה,חמס,רע,ריב,בליעל,אשר,חמס | רע | ריב | בליעל | אשר,hit,exact_top1_hit,The model's first guess is exactly correct.
26,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,מדון,0,14,עשק ומעל ושוד וחמס ליגזולו הון ויהי ריב ו ⬚⬚⬚ ישא פשר מריבה וחשבה הואה על כן תפוג תורה על מטיף הכזב ו,עשק ו מעל ו שוד ו חמס ל יגזולו הון ו יהי ריב ו ⬚⬚⬚ ישא פשר מריבה ו חשבה הואה על כן תפוג תורה על מטיף ה כזב ו,לא,לוא,אשר,אל,מי,לא | לוא | אשר | אל | מי,miss,particle_or_too_short,Top guess is much shorter than the gold word.
27,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,ישא,25,14,ומעל ושוד וחמס ליגזולו הון ויהי ריב ומדון ⬚⬚⬚ פשר מריבה וחשבה הואה על כן תפוג תורה על מטיף הכזב ואנשי,ו מעל ו שוד ו חמס ל יגזולו הון ו יהי ריב ו מדון ⬚⬚⬚ פשר מריבה ו חשבה הואה על כן תפוג תורה על מטיף ה כזב ו אנשי,על,כי,ועל,ו,ולו,על | כי | ועל | ו | ולו,miss,same_length_semantic,Model prefers another plausible word of similar length.
28,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,פשר,24,13,ושוד וחמס ליגזולו הון ויהי ריב ומדון ישא ⬚⬚⬚ מריבה וחשבה הואה על כן תפוג תורה על מטיף הכזב ואנשי אשר,ו שוד ו חמס ל יגזולו הון ו יהי ריב ו מדון ישא ⬚⬚⬚ מריבה ו חשבה הואה על כן תפוג תורה על מטיף ה כזב ו אנשי אשר,איש,אל,ו,את,על,איש | אל | ו | את | על,miss,same_length_semantic,Model prefers another plausible word of similar length.
29,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,על,1174,15,ויהי ריב ומדון ישא פשר מריבה וחשבה הואה על כן תפוג תורה ⬚⬚⬚ מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא יצא לנצח משפט כיא,ו יהי ריב ו מדון ישא פשר מריבה ו חשבה הואה על כן תפוג תורה ⬚⬚⬚ מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט כיא,ויהי,ואין,והיה,יהי,ו,ויהי | ואין | והיה | יהי | ו,miss,other_miss,Miss without a simple short/rare/same-length explanation.
30,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,מטיף,3,15,יהי ריב ומדון ישא פשר מריבה וחשבה הואה על כן תפוג תורה על ⬚⬚⬚ הכזב ואנשי אשר מאשו בתורת אל ולוא יצא לנצח משפט כיא רשע,יהי ריב ו מדון ישא פשר מריבה ו חשבה הואה על כן תפוג תורה על ⬚⬚⬚ ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט כיא רשע,כן,כי,אשר,כל,כול,כן | כי | אשר | כל | כול,miss,particle_or_too_short,Top guess is much shorter than the gold word.
31,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,כזב,6,15,ומדון ישא פשר מריבה וחשבה הואה על כן תפוג תורה על מטיף ה ⬚⬚⬚ ואנשי אשר מאשו בתורת אל ולוא יצא לנצח משפט כיא רשע מכתיר את,ו מדון ישא פשר מריבה ו חשבה הואה על כן תפוג תורה על מטיף ה ⬚⬚⬚ ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט כיא רשע מכתיר את,על,אל,ו,אשר,ה,על | אל | ו | אשר | ה,miss,same_length_semantic,Model prefers another plausible word of similar length.
32,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,אנשי,124,15,ישא פשר מריבה וחשבה הואה על כן תפוג תורה על מטיף הכזב ו ⬚⬚⬚ אשר מאשו בתורת אל ולוא יצא לנצח משפט כיא רשע מכתיר את הצדיק,ישא פשר מריבה ו חשבה הואה על כן תפוג תורה על מטיף ה כזב ו ⬚⬚⬚ אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט כיא רשע מכתיר את ה צדיק,על,איש,אל,כול,בליעל,על | איש | אל | כול | בליעל,miss,particle_or_too_short,Top guess is much shorter than the gold word.
33,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,לוא,578,16,על כן תפוג תורה על מטיף הכזב ואנשי אשר מאשו בתורת אל ו ⬚⬚⬚ יצא לנצח משפט כיא רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע,על כן תפוג תורה על מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו ⬚⬚⬚ יצא ל נצח משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע,לא,אשר,אל,לוא,כי,לא | אשר | אל | לוא | כי,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
34,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,יצא,28,16,כן תפוג תורה על מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא ⬚⬚⬚ לנצח משפט כיא רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע ו,כן תפוג תורה על מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא ⬚⬚⬚ ל נצח משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו,יהיה,היה,יקום,צדק,יוכל,יהיה | היה | יקום | צדק | יוכל,miss,same_length_semantic,Model prefers another plausible word of similar length.
35,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,נצח,17,16,תורה על מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא יצא ל ⬚⬚⬚ משפט כיא רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע ו הצדיק,תורה על מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל ⬚⬚⬚ משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה צדיק,אל,ה,דבר,על,צדיק,אל | ה | דבר | על | צדיק,miss,same_length_semantic,Model prefers another plausible word of similar length.
36,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,משפט,98,16,על מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא יצא לנצח ⬚⬚⬚ כיא רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע ו הצדיק הוא,על מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח ⬚⬚⬚ כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה צדיק הוא,אל,ישראל,משפט,על,צדיק,אל | ישראל | משפט | על | צדיק,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
37,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,כיא,295,17,על מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא יצא לנצח משפט ⬚⬚⬚ רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע ו הצדיק הוא מורה ה,על מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט ⬚⬚⬚ רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה צדיק הוא מורה ה,כי,אשר,וה,על,והנה,כי | אשר | וה | על | והנה,miss,same_length_semantic,Model prefers another plausible word of similar length.
38,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,רשע,29,17,מטיף הכזב ואנשי אשר מאשו בתורת אל ולוא יצא לנצח משפט כיא ⬚⬚⬚ מכתיר את הצדיק הרשע הוא הכוהן הרשע ו הצדיק הוא מורה הצדק,מטיף ה כזב ו אנשי אשר מאשו ב תורת אל ו לוא יצא ל נצח משפט כיא ⬚⬚⬚ מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה צדיק הוא מורה ה צדק,צדיק,רשע,רשעים,בליעל,אויל,צדיק | רשע | רשעים | בליעל | אויל,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
39,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,רשע,29,16,בתורת אל ולוא יצא לנצח משפט כיא רשע מכתיר את הצדיק ה ⬚⬚⬚ הוא הכוהן הרשע ו הצדיק הוא מורה הצדק אשר על כן יצא המשפט,ב תורת אל ו לוא יצא ל נצח משפט כיא רשע מכתיר את ה צדיק ה ⬚⬚⬚ הוא ה כוהן ה רשע ו ה צדיק הוא מורה ה צדק אשר על כן יצא ה משפט,צדיק,אל,מי,אשר,משפט,צדיק | אל | מי | אשר | משפט,miss,same_length_semantic,Model prefers another plausible word of similar length.
40,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,הוא,350,16,תורת אל ולוא יצא לנצח משפט כיא רשע מכתיר את הצדיק הרשע ⬚⬚⬚ הכוהן הרשע ו הצדיק הוא מורה הצדק אשר על כן יצא המשפט מעוקל,תורת אל ו לוא יצא ל נצח משפט כיא רשע מכתיר את ה צדיק ה רשע ⬚⬚⬚ ה כוהן ה רשע ו ה צדיק הוא מורה ה צדק אשר על כן יצא ה משפט מעוקל,הוא,את,על,אשר,כי,הוא | את | על | אשר | כי,hit,exact_top1_hit,The model's first guess is exactly correct.
41,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,כוהן,22,16,ולוא יצא לנצח משפט כיא רשע מכתיר את הצדיק הרשע הוא ה ⬚⬚⬚ הרשע ו הצדיק הוא מורה הצדק אשר על כן יצא המשפט מעוקל,ו לוא יצא ל נצח משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה ⬚⬚⬚ ה רשע ו ה צדיק הוא מורה ה צדק אשר על כן יצא ה משפט מעוקל,צדיק,צדק,משפט,כי,רשע,צדיק | צדק | משפט | כי | רשע,miss,same_length_semantic,Model prefers another plausible word of similar length.
42,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,רשע,29,17,לוא יצא לנצח משפט כיא רשע מכתיר את הצדיק הרשע הוא הכוהן ה ⬚⬚⬚ ו הצדיק הוא מורה הצדק אשר על כן יצא המשפט מעוקל ולוא,לוא יצא ל נצח משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה ⬚⬚⬚ ו ה צדיק הוא מורה ה צדק אשר על כן יצא ה משפט מעוקל ו לוא,צדיק,צדק,משפט,כוהן,רשע,צדיק | צדק | משפט | כוהן | רשע,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
43,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,צדיק,20,17,נצח משפט כיא רשע מכתיר את הצדיק הרשע הוא הכוהן הרשע ו ה ⬚⬚⬚ הוא מורה הצדק אשר על כן יצא המשפט מעוקל ולוא ת,נצח משפט כיא רשע מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה ⬚⬚⬚ הוא מורה ה צדק אשר על כן יצא ה משפט מעוקל ו לוא ת,צדיק,אשר,צדק,מי,רשע,צדיק | אשר | צדק | מי | רשע,hit,exact_top1_hit,The model's first guess is exactly correct.
44,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,אשר,1396,18,מכתיר את הצדיק הרשע הוא הכוהן הרשע ו הצדיק הוא מורה הצדק ⬚⬚⬚ על כן יצא המשפט מעוקל ולוא ת ראו בגוים והביטו,מכתיר את ה צדיק ה רשע הוא ה כוהן ה רשע ו ה צדיק הוא מורה ה צדק ⬚⬚⬚ על כן יצא ה משפט מעוקל ו לוא ת ראו ב גוים ו הביטו,כי,ומשפט,אשר,הוא,על,כי | ומשפט | אשר | הוא | על,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
45,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,מעוקל,0,18,הוא הכוהן הרשע ו הצדיק הוא מורה הצדק אשר על כן יצא המשפט ⬚⬚⬚ ולוא ת ראו בגוים והביטו והתמהו תמהו כיא פעל פועל ב,הוא ה כוהן ה רשע ו ה צדיק הוא מורה ה צדק אשר על כן יצא ה משפט ⬚⬚⬚ ו לוא ת ראו ב גוים ו הביטו ו התמהו תמהו כיא פעל פועל ב,ומשפט,משפט,מעוקל,אל,צדק,ומשפט | משפט | מעוקל | אל | צדק,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
