model,split,book_filter,gold,gold_fit_freq,category,why,context,top1,top2,top3,top4,top5,top5_joined
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ספר,32,same_length_semantic,Model prefers a plausible same-length alternative.,ל שים ל ⬚⬚⬚ סרך ה יחד ל דרוש,כול,אל,כל,לב,את,כול | אל | כל | לב | את
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,למד,1,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,ל נמהרי לב ו ל ⬚⬚⬚ ל תועי רוח בינה ו,דעת,לב,רוח,חכם,כל,דעת | לב | רוח | חכם | כל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מדון,0,particle_or_too_short,Top guess is much shorter than the gold word.,הון ו יהי ריב ו ⬚⬚⬚ ישא פשר מריבה ו חשבה,לא,לוא,אשר,אל,מי,לא | לוא | אשר | אל | מי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ישא,25,same_length_semantic,Model prefers a plausible same-length alternative.,ו יהי ריב ו מדון ⬚⬚⬚ פשר מריבה ו חשבה הואה,על,כי,ועל,ו,ולו,על | כי | ועל | ו | ולו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פשר,24,same_length_semantic,Model prefers a plausible same-length alternative.,יהי ריב ו מדון ישא ⬚⬚⬚ מריבה ו חשבה הואה על,איש,אל,ו,את,על,איש | אל | ו | את | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,על,1174,other,No simple short/rare/same-length explanation.,הואה על כן תפוג תורה ⬚⬚⬚ מטיף ה כזב ו אנשי,ויהי,ואין,והיה,יהי,ו,ויהי | ואין | והיה | יהי | ו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מטיף,3,particle_or_too_short,Top guess is much shorter than the gold word.,על כן תפוג תורה על ⬚⬚⬚ ה כזב ו אנשי אשר,כן,כי,אשר,כל,כול,כן | כי | אשר | כל | כול
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כזב,6,same_length_semantic,Model prefers a plausible same-length alternative.,תפוג תורה על מטיף ה ⬚⬚⬚ ו אנשי אשר מאשו ב,על,אל,ו,אשר,ה,על | אל | ו | אשר | ה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,אנשי,124,particle_or_too_short,Top guess is much shorter than the gold word.,על מטיף ה כזב ו ⬚⬚⬚ אשר מאשו ב תורת אל,על,איש,אל,כול,בליעל,על | איש | אל | כול | בליעל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יצא,28,same_length_semantic,Model prefers a plausible same-length alternative.,ב תורת אל ו לוא ⬚⬚⬚ ל נצח משפט כיא רשע,יהיה,היה,יקום,צדק,יוכל,יהיה | היה | יקום | צדק | יוכל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,נצח,17,same_length_semantic,Model prefers a plausible same-length alternative.,אל ו לוא יצא ל ⬚⬚⬚ משפט כיא רשע מכתיר את,אל,ה,דבר,על,צדיק,אל | ה | דבר | על | צדיק
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כיא,295,same_length_semantic,Model prefers a plausible same-length alternative.,לוא יצא ל נצח משפט ⬚⬚⬚ רשע מכתיר את ה צדיק,כי,אשר,וה,על,והנה,כי | אשר | וה | על | והנה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,רשע,29,same_length_semantic,Model prefers a plausible same-length alternative.,מכתיר את ה צדיק ה ⬚⬚⬚ הוא ה כוהן ה רשע,צדיק,אל,מי,אשר,משפט,צדיק | אל | מי | אשר | משפט
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כוהן,22,same_length_semantic,Model prefers a plausible same-length alternative.,צדיק ה רשע הוא ה ⬚⬚⬚ ה רשע ו ה צדיק,צדיק,צדק,משפט,כי,רשע,צדיק | צדק | משפט | כי | רשע
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ראו,15,same_length_semantic,Model prefers a plausible same-length alternative.,משפט מעוקל ו לוא ת ⬚⬚⬚ ב גוים ו הביטו ו,אל,על,ו,כול,כי,אל | על | ו | כול | כי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,גוים,22,same_length_semantic,Model prefers a plausible same-length alternative.,ו לוא ת ראו ב ⬚⬚⬚ ו הביטו ו התמהו תמהו,ראו,ו,שמעו,ידעו,ה,ראו | ו | שמעו | ידעו | ה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,הביטו,1,particle_or_too_short,Top guess is much shorter than the gold word.,ת ראו ב גוים ו ⬚⬚⬚ ו התמהו תמהו כיא פעל,ו,ישראל,שמעו,ראו,ם,ו | ישראל | שמעו | ראו | ם
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,התמהו,0,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,ב גוים ו הביטו ו ⬚⬚⬚ תמהו כיא פעל פועל ב,ראום,ראוו,ראוה,ראומה,ראוולא,ראום | ראוו | ראוה | ראומה | ראוולא
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,תמהו,1,particle_or_too_short,Top guess is much shorter than the gold word.,גוים ו הביטו ו התמהו ⬚⬚⬚ כיא פעל פועל ב לוא,על,למו,ו,לו,כי,על | למו | ו | לו | כי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כיא,295,same_length_semantic,Model prefers a plausible same-length alternative.,ו הביטו ו התמהו תמהו ⬚⬚⬚ פעל פועל ב לוא תאמינו,על,כי,מה,כול,ראו,על | כי | מה | כול | ראו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פעל,1,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,הביטו ו התמהו תמהו כיא ⬚⬚⬚ פועל ב לוא תאמינו כיא,אין,כול,אל,יקום,כל,אין | כול | אל | יקום | כל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פועל,0,particle_or_too_short,Top guess is much shorter than the gold word.,ו התמהו תמהו כיא פעל ⬚⬚⬚ ב לוא תאמינו כיא יסופר,אל,און,רע,ם,משפט,אל | און | רע | ם | משפט
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,תאמינו,1,particle_or_too_short,Top guess is much shorter than the gold word.,כיא פעל פועל ב לוא ⬚⬚⬚ כיא יסופר פשר ה דבר,ידעו,ראו,האמינו,שמעו,ישכילו,ידעו | ראו | האמינו | שמעו | ישכילו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כיא,295,same_length_semantic,Model prefers a plausible same-length alternative.,פעל פועל ב לוא תאמינו ⬚⬚⬚ יסופר פשר ה דבר על,כי,לוא,ולו,ולא,אם,כי | לוא | ולו | ולא | אם
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פשר,24,same_length_semantic,Model prefers a plausible same-length alternative.,ב לוא תאמינו כיא יסופר ⬚⬚⬚ ה דבר על ה בוגדים,על,למו,אל,להם,לו,על | למו | אל | להם | לו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,דברי,107,particle_or_too_short,Top guess is much shorter than the gold word.,כזב כי לוא האמינו ב ⬚⬚⬚ מורה ה צדקה מ פיא,אל,כול,ברית,איש,משפט,אל | כול | ברית | איש | משפט
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ברית,76,particle_or_too_short,Top guess is much shorter than the gold word.,ו על ה בוגדים ב ⬚⬚⬚ ה חדשה כיא לוא האמינו,אל,על,דבר,את,ם,אל | על | דבר | את | ם
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יחללו,6,particle_or_too_short,Top guess is much shorter than the gold word.,האמינו ב ברית אל ו ⬚⬚⬚ את שם ו כן פשר,ו,זכרו,ם,קדשו,ידעו,ו | זכרו | ם | קדשו | ידעו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,היתה,11,other,No simple short/rare/same-length explanation.,מלחמה ל אבד רבים ו ⬚⬚⬚ ה ארץ ב ממשלת ה,כול,כל,על,את,עם,כול | כל | על | את | עם
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ארץ,69,other,No simple short/rare/same-length explanation.,אבד רבים ו היתה ה ⬚⬚⬚ ב ממשלת ה כתיאים ירשו,מלחמה,ם,ישראל,ה,על,מלחמה | ם | ישראל | ה | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,הולך,5,particle_or_too_short,Top guess is much shorter than the gold word.,יאמינו ב חוקי אל ה ⬚⬚⬚ ל מרחבי ארץ ל רשת,ים,ם,ארץ,ישראל,אשר,ים | ם | ארץ | ישראל | אשר
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מרחבי,0,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,חוקי אל ה הולך ל ⬚⬚⬚ ארץ ל רשת משכנות לוא,יםאל,ארץאל,אלאל,יםאת,יםכל,יםאל | ארץאל | אלאל | יםאת | יםכל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,רשת,3,same_length_semantic,Model prefers a plausible same-length alternative.,הולך ל מרחבי ארץ ל ⬚⬚⬚ משכנות לוא על ה כתיאים,כל,כול,אל,י,שערי,כל | כול | אל | י | שערי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,משכנות,0,particle_or_too_short,Top guess is much shorter than the gold word.,ל מרחבי ארץ ל רשת ⬚⬚⬚ לוא על ה כתיאים אשר,אשר,אל,כי,ים,על,אשר | אל | כי | ים | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,לוא,578,same_length_semantic,Model prefers a plausible same-length alternative.,מרחבי ארץ ל רשת משכנות ⬚⬚⬚ על ה כתיאים אשר ו,אל,עולם,ים,אשר,ארץ,אל | עולם | ים | אשר | ארץ
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,על,1174,other,No simple short/rare/same-length explanation.,ארץ ל רשת משכנות לוא ⬚⬚⬚ ה כתיאים אשר ו ב,יתעו,ידעו,יהיו,כול,ילכו,יתעו | ידעו | יהיו | כול | ילכו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כתיאים,4,same_length_semantic,Model prefers a plausible same-length alternative.,רשת משכנות לוא על ה ⬚⬚⬚ אשר ו ב מישור ילכו,ארץארץ,ארץהארץ,יםארץ,ארץאל,ארץעד,ארץארץ | ארץהארץ | יםארץ | ארץאל | ארץעד
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,עמים,18,other,No simple short/rare/same-length explanation.,אפים ידברו עם כול ה ⬚⬚⬚ כיא הוא אשר אמר מגמת,רוח,ם,לב,כול,אלה,רוח | ם | לב | כול | אלה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,קדים,8,same_length_semantic,Model prefers a plausible same-length alternative.,כיא הוא אשר אמר מגמת ⬚⬚⬚ ו יאסוף כ חול שבי,פני,ים,אל,פניו,פנים,פני | ים | אל | פניו | פנים
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יאסוף,1,particle_or_too_short,Top guess is much shorter than the gold word.,אשר אמר מגמת קדים ו ⬚⬚⬚ כ חול שבי על ה,הוא,אשר,כול,ים,כל,הוא | אשר | כול | ים | כל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כתיאים,4,same_length_semantic,Model prefers a plausible same-length alternative.,כ חול שבי על ה ⬚⬚⬚ אשר ו הוא ב מלכים,כולהוא,עמיםהוא,מלךהוא,עםהוא,יםהוא,כולהוא | עמיםהוא | מלךהוא | עםהוא | יםהוא
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,אשר,1396,same_length_semantic,Model prefers a plausible same-length alternative.,חול שבי על ה כתיאים ⬚⬚⬚ ו הוא ב מלכים יקלס,ים,ם,כול,יחד,על,ים | ם | כול | יחד | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,הוא,350,same_length_semantic,Model prefers a plausible same-length alternative.,על ה כתיאים אשר ו ⬚⬚⬚ ב מלכים יקלס ו רזנים,כול,על,כל,מלך,ם,כול | על | כל | מלך | ם
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מלכים,8,particle_or_too_short,Top guess is much shorter than the gold word.,כתיאים אשר ו הוא ב ⬚⬚⬚ יקלס ו רזנים משחק אשר,אל,אשר,ים,ם,כול,אל | אשר | ים | ם | כול
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ישם,0,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,שחית את ה ארץ ו ⬚⬚⬚ זה ל אשר ישימו כול,אחר,לפני,את,עם,על,אחר | לפני | את | עם | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,אשר,1396,same_length_semantic,Model prefers a plausible same-length alternative.,ארץ ו ישם זה ל ⬚⬚⬚ ישימו כול ה עמים ל,זה,וזה,לפני,אל,אלה,זה | וזה | לפני | אל | אלה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ישימו,3,particle_or_too_short,Top guess is much shorter than the gold word.,ו ישם זה ל אשר ⬚⬚⬚ כול ה עמים ל ל,על,את,כול,לפני,אל,על | את | כול | לפני | אל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,לוא,578,same_length_semantic,Model prefers a plausible same-length alternative.,ה עמים ל ל ה ⬚⬚⬚ אתה מ קדם יהוה לוא,אשר,כי,מה,כול,ה,אשר | כי | מה | כול | ה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,אתה,141,same_length_semantic,Model prefers a plausible same-length alternative.,עמים ל ל ה לוא ⬚⬚⬚ מ קדם יהוה לוא נמות,כול,אל,א,על,ה,כול | אל | א | על | ה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,קדם,23,same_length_semantic,Model prefers a plausible same-length alternative.,ל ה לוא אתה מ ⬚⬚⬚ יהוה לוא נמות יהוה ל,אתה,את,אל,לפני,ברוך,אתה | את | אל | לפני | ברוך
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יהוה,387,particle_or_too_short,Top guess is much shorter than the gold word.,ה לוא אתה מ קדם ⬚⬚⬚ לוא נמות יהוה ל משפט,כי,כול,אשר,אל,עד,כי | כול | אשר | אל | עד
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,לוא,578,same_length_semantic,Model prefers a plausible same-length alternative.,לוא אתה מ קדם יהוה ⬚⬚⬚ נמות יהוה ל משפט ו,אשר,כי,כול,ולו,מה,אשר | כי | כול | ולו | מה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,נמות,0,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,אתה מ קדם יהוה לוא ⬚⬚⬚ יהוה ל משפט ו צור,אתה,את,ידע,יעשה,לך,אתה | את | ידע | יעשה | לך
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יהוה,387,particle_or_too_short,Top guess is much shorter than the gold word.,מ קדם יהוה לוא נמות ⬚⬚⬚ ל משפט ו צור ל,כי,כול,ולו,ולא,כה,כי | כול | ולו | ולא | כה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יקטר,0,particle_or_too_short,Top guess is much shorter than the gold word.,כן ישמח ו יגיל ו ⬚⬚⬚ ל כיא שמן ו ברי,על,אל,לב,אשר,כי,על | אל | לב | אשר | כי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כיא,295,other,No simple short/rare/same-length explanation.,ו יגיל ו יקטר ל ⬚⬚⬚ שמן ו ברי על ה,על,לב,שר,את,אל,על | לב | שר | את | אל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ברי,24,same_length_semantic,Model prefers a plausible same-length alternative.,יקטר ל כיא שמן ו ⬚⬚⬚ על ה כתיאים ו יוסיפו,אשר,ם,לב,ו,אל,אשר | ם | לב | ו | אל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יומר,1,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,אשיב על ו יהוה ו ⬚⬚⬚ כתוב חזון ו באר על,חזון,אשר,כתוב,ראה,כה,חזון | אשר | כתוב | ראה | כה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כתוב,80,particle_or_too_short,Top guess is much shorter than the gold word.,על ו יהוה ו יומר ⬚⬚⬚ חזון ו באר על ה,כל,על,דברי,כול,לו,כל | על | דברי | כול | לו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,חזון,6,particle_or_too_short,Top guess is much shorter than the gold word.,ו יהוה ו יומר כתוב ⬚⬚⬚ ו באר על ה לוחות,על,בספר,אל,את,אשר,על | בספר | אל | את | אשר
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,קורא,0,particle_or_too_short,Top guess is much shorter than the gold word.,ה לוחות למען ירוץ ה ⬚⬚⬚ פשר ה דבר אשר ו,את,על,אל,ספר,דבר,את | על | אל | ספר | דבר
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פשר,24,same_length_semantic,Model prefers a plausible same-length alternative.,לוחות למען ירוץ ה קורא ⬚⬚⬚ ה דבר אשר ו ידבר,את,אל,על,כול,כל,את | אל | על | כול | כל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,צדיק,20,other,No simple short/rare/same-length explanation.,לוא ירצו ב ל ו ⬚⬚⬚ ב יחיה על כול עושי,אשר,אל,כול,כי,איש,אשר | אל | כול | כי | איש
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יחיה,6,particle_or_too_short,Top guess is much shorter than the gold word.,ב ל ו צדיק ב ⬚⬚⬚ על כול עושי ה תורה,אל,רע,כי,ם,אשר,אל | רע | כי | ם | אשר
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,דבר,126,same_length_semantic,Model prefers a plausible same-length alternative.,כול יתר עמים פשר ה ⬚⬚⬚ על ה כוהן אשר מרד,אל,ישראל,אשר,ם,ת,אל | ישראל | אשר | ם | ת
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פשר,24,same_length_semantic,Model prefers a plausible same-length alternative.,תזעק ו כפיס מ עץ ⬚⬚⬚ ה דבר על ה כוהן,על,אשר,כול,אל,כי,על | אשר | כול | אל | כי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כוהן,22,other,No simple short/rare/same-length explanation.,פשר ה דבר על ה ⬚⬚⬚ אשר ץ ל היות ב,דבר,איש,כול,אשר,על,דבר | איש | כול | אשר | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,את,1430,same_length_semantic,Model prefers a plausible same-length alternative.,כוס חמת אל ל וסיף ⬚⬚⬚ ו מכאוב ל ל ל,מים,ים,תה,אל,לב,מים | ים | תה | אל | לב
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,כיא,295,particle_or_too_short,Top guess is much shorter than the gold word.,ו מכאוב ל ל ל ⬚⬚⬚ חמס לבנון ו שוד בהמות,ף,מלא,על,כוס,פרי,ף | מלא | על | כוס | פרי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,חמס,10,same_length_semantic,Model prefers a plausible same-length alternative.,מכאוב ל ל ל כיא ⬚⬚⬚ לבנון ו שוד בהמות יחתה,ים,את,ארזי,יער,אל,ים | את | ארזי | יער | אל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,לבנון,5,same_length_semantic,Model prefers a plausible same-length alternative.,ל ל ל כיא חמס ⬚⬚⬚ ו שוד בהמות יחתה מ,בהמה,אדם,בהמות,ארץ,שור,בהמה | אדם | בהמות | ארץ | שור
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,שוד,0,rare_or_unseen,Gold form is very rare or unseen in the fit partition.,ל כיא חמס לבנון ו ⬚⬚⬚ בהמות יחתה מ דמי אדם,חמס,דם,כול,כל,על,חמס | דם | כול | כל | על
