target_word,context_for_reading,model_top1,model_top2,model_top3,model_top4,model_top5,all_top5,likely_issue,reader_note,target_fit_frequency,raw_context,raw_category
מובדל,ונענש שנה אחת ו ⬚⬚⬚ ואשר יזכיר דבר ב,על,כול,כל,אשר,איש,על | כול | כל | אשר | איש,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'מובדל'.,2,ו נענש שנה אחת ו ⬚⬚⬚ ו אשר יזכיר דבר ב,particle_or_too_short
ערב,יתערב ב או באשר ⬚⬚⬚ עם הון הרבים ו,יתערב,יהיה,ילך,יבוא,יהיו,יתערב | יהיה | ילך | יבוא | יהיו,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ערב'.",53,יתערב ב או ב אשר ⬚⬚⬚ עם הון ה רבים ו,same_length_semantic
הון,או באשר ערב עם ⬚⬚⬚ הרבים והיה ל,אנשי,בני,איש,אנשים,כול,אנשי | בני | איש | אנשים | כול,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'הון'.",41,או ב אשר ערב עם ⬚⬚⬚ ה רבים ו היה ל,same_length_semantic
פי,מדרש ו בעצה על ⬚⬚⬚ הרבים אם לוא שגג,ימים,כול,שנים,כל,שגגה,ימים | כול | שנים | כל | שגגה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'פי'.",67,מדרש ו ב עצה על ⬚⬚⬚ ה רבים אם לוא שגג,same_length_semantic
תרומת,בכול אשר יהיה יספר ⬚⬚⬚ שפתים עם קצים אשהר חקק,דבר,על,עם,בדבר,מתק,דבר | על | עם | בדבר | מתק,Split-clitic noise / short-word bias,The model chose a much shorter word ('דבר') instead of the target 'תרומת'.,5,ב כול אשר יהיה יספר ⬚⬚⬚ שפתים עם קצים אשהר חקק,particle_or_too_short
למד,לנמהרי לב ו ל ⬚⬚⬚ לתועי רוח בינה ו,דעת,לב,רוח,חכם,כל,דעת | לב | רוח | חכם | כל,Rare or unseen target word,"The target 'למד' is very rare in the fit data, so the model backs off to safer guesses.",1,ל נמהרי לב ו ל ⬚⬚⬚ ל תועי רוח בינה ו,rare_or_unseen
מדון,הון ויהי ריב ו ⬚⬚⬚ ישא פשר מריבה וחשבה,לא,לוא,אשר,אל,מי,לא | לוא | אשר | אל | מי,Split-clitic noise / short-word bias,The model chose a much shorter word ('לא') instead of the target 'מדון'.,0,הון ו יהי ריב ו ⬚⬚⬚ ישא פשר מריבה ו חשבה,particle_or_too_short
ישא,ויהי ריב ומדון ⬚⬚⬚ פשר מריבה וחשבה הואה,על,כי,ועל,ו,ולו,על | כי | ועל | ו | ולו,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ישא'.",25,ו יהי ריב ו מדון ⬚⬚⬚ פשר מריבה ו חשבה הואה,same_length_semantic
פשר,יהי ריב ומדון ישא ⬚⬚⬚ מריבה וחשבה הואה על,איש,אל,ו,את,על,איש | אל | ו | את | על,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'פשר'.",24,יהי ריב ו מדון ישא ⬚⬚⬚ מריבה ו חשבה הואה על,same_length_semantic
על,הואה על כן תפוג תורה ⬚⬚⬚ מטיף הכזב ואנשי,ויהי,ואין,והיה,יהי,ו,ויהי | ואין | והיה | יהי | ו,Needs manual inspection,The model misses 'על' for a reason not captured by the simple heuristics.,1174,הואה על כן תפוג תורה ⬚⬚⬚ מטיף ה כזב ו אנשי,other
מטיף,על כן תפוג תורה על ⬚⬚⬚ הכזב ואנשי אשר,כן,כי,אשר,כל,כול,כן | כי | אשר | כל | כול,Split-clitic noise / short-word bias,The model chose a much shorter word ('כן') instead of the target 'מטיף'.,3,על כן תפוג תורה על ⬚⬚⬚ ה כזב ו אנשי אשר,particle_or_too_short
כזב,תפוג תורה על מטיף ה ⬚⬚⬚ ואנשי אשר מאשו ב,על,אל,ו,אשר,ה,על | אל | ו | אשר | ה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כזב'.",6,תפוג תורה על מטיף ה ⬚⬚⬚ ו אנשי אשר מאשו ב,same_length_semantic
אנשי,על מטיף הכזב ו ⬚⬚⬚ אשר מאשו בתורת אל,על,איש,אל,כול,בליעל,על | איש | אל | כול | בליעל,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'אנשי'.,124,על מטיף ה כזב ו ⬚⬚⬚ אשר מאשו ב תורת אל,particle_or_too_short
יצא,בתורת אל ולוא ⬚⬚⬚ לנצח משפט כיא רשע,יהיה,היה,יקום,צדק,יוכל,יהיה | היה | יקום | צדק | יוכל,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'יצא'.",28,ב תורת אל ו לוא ⬚⬚⬚ ל נצח משפט כיא רשע,same_length_semantic
נצח,אל ולוא יצא ל ⬚⬚⬚ משפט כיא רשע מכתיר את,אל,ה,דבר,על,צדיק,אל | ה | דבר | על | צדיק,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'נצח'.",17,אל ו לוא יצא ל ⬚⬚⬚ משפט כיא רשע מכתיר את,same_length_semantic
כיא,לוא יצא לנצח משפט ⬚⬚⬚ רשע מכתיר את הצדיק,כי,אשר,וה,על,והנה,כי | אשר | וה | על | והנה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כיא'.",295,לוא יצא ל נצח משפט ⬚⬚⬚ רשע מכתיר את ה צדיק,same_length_semantic
רשע,מכתיר את הצדיק ה ⬚⬚⬚ הוא הכוהן הרשע,צדיק,אל,מי,אשר,משפט,צדיק | אל | מי | אשר | משפט,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'רשע'.",29,מכתיר את ה צדיק ה ⬚⬚⬚ הוא ה כוהן ה רשע,same_length_semantic
כוהן,צדיק הרשע הוא ה ⬚⬚⬚ הרשע ו הצדיק,צדיק,צדק,משפט,כי,רשע,צדיק | צדק | משפט | כי | רשע,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כוהן'.",22,צדיק ה רשע הוא ה ⬚⬚⬚ ה רשע ו ה צדיק,same_length_semantic
ראו,משפט מעוקל ולוא ת ⬚⬚⬚ בגוים והביטו ו,אל,על,ו,כול,כי,אל | על | ו | כול | כי,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ראו'.",15,משפט מעוקל ו לוא ת ⬚⬚⬚ ב גוים ו הביטו ו,same_length_semantic
גוים,ולוא ת ראו ב ⬚⬚⬚ והביטו והתמהו תמהו,ראו,ו,שמעו,ידעו,ה,ראו | ו | שמעו | ידעו | ה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'גוים'.",22,ו לוא ת ראו ב ⬚⬚⬚ ו הביטו ו התמהו תמהו,same_length_semantic
הביטו,ת ראו בגוים ו ⬚⬚⬚ והתמהו תמהו כיא פעל,ו,ישראל,שמעו,ראו,ם,ו | ישראל | שמעו | ראו | ם,Split-clitic noise / short-word bias,The model chose a much shorter word ('ו') instead of the target 'הביטו'.,1,ת ראו ב גוים ו ⬚⬚⬚ ו התמהו תמהו כיא פעל,particle_or_too_short
התמהו,בגוים והביטו ו ⬚⬚⬚ תמהו כיא פעל פועל ב,ראום,ראוו,ראוה,ראומה,ראוולא,ראום | ראוו | ראוה | ראומה | ראוולא,Rare or unseen target word,"The target 'התמהו' is very rare in the fit data, so the model backs off to safer guesses.",0,ב גוים ו הביטו ו ⬚⬚⬚ תמהו כיא פעל פועל ב,rare_or_unseen
תמהו,גוים והביטו והתמהו ⬚⬚⬚ כיא פעל פועל בלוא,על,למו,ו,לו,כי,על | למו | ו | לו | כי,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'תמהו'.,1,גוים ו הביטו ו התמהו ⬚⬚⬚ כיא פעל פועל ב לוא,particle_or_too_short
כיא,והביטו והתמהו תמהו ⬚⬚⬚ פעל פועל בלוא תאמינו,על,כי,מה,כול,ראו,על | כי | מה | כול | ראו,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כיא'.",295,ו הביטו ו התמהו תמהו ⬚⬚⬚ פעל פועל ב לוא תאמינו,same_length_semantic
פעל,הביטו והתמהו תמהו כיא ⬚⬚⬚ פועל בלוא תאמינו כיא,אין,כול,אל,יקום,כל,אין | כול | אל | יקום | כל,Rare or unseen target word,"The target 'פעל' is very rare in the fit data, so the model backs off to safer guesses.",1,הביטו ו התמהו תמהו כיא ⬚⬚⬚ פועל ב לוא תאמינו כיא,rare_or_unseen
פועל,והתמהו תמהו כיא פעל ⬚⬚⬚ בלוא תאמינו כיא יסופר,אל,און,רע,ם,משפט,אל | און | רע | ם | משפט,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'פועל'.,0,ו התמהו תמהו כיא פעל ⬚⬚⬚ ב לוא תאמינו כיא יסופר,particle_or_too_short
תאמינו,כיא פעל פועל בלוא ⬚⬚⬚ כיא יסופר פשר הדבר,ידעו,ראו,האמינו,שמעו,ישכילו,ידעו | ראו | האמינו | שמעו | ישכילו,Split-clitic noise / short-word bias,The model chose a much shorter word ('ידעו') instead of the target 'תאמינו'.,1,כיא פעל פועל ב לוא ⬚⬚⬚ כיא יסופר פשר ה דבר,particle_or_too_short
כיא,פעל פועל בלוא תאמינו ⬚⬚⬚ יסופר פשר הדבר על,כי,לוא,ולו,ולא,אם,כי | לוא | ולו | ולא | אם,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כיא'.",295,פעל פועל ב לוא תאמינו ⬚⬚⬚ יסופר פשר ה דבר על,same_length_semantic
פשר,בלוא תאמינו כיא יסופר ⬚⬚⬚ הדבר על הבוגדים,על,למו,אל,להם,לו,על | למו | אל | להם | לו,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'פשר'.",24,ב לוא תאמינו כיא יסופר ⬚⬚⬚ ה דבר על ה בוגדים,same_length_semantic
דברי,כזב כי לוא האמינו ב ⬚⬚⬚ מורה הצדקה מפיא,אל,כול,ברית,איש,משפט,אל | כול | ברית | איש | משפט,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'דברי'.,107,כזב כי לוא האמינו ב ⬚⬚⬚ מורה ה צדקה מ פיא,particle_or_too_short
ברית,ו על הבוגדים ב ⬚⬚⬚ החדשה כיא לוא האמינו,אל,על,דבר,את,ם,אל | על | דבר | את | ם,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'ברית'.,76,ו על ה בוגדים ב ⬚⬚⬚ ה חדשה כיא לוא האמינו,particle_or_too_short
יחללו,האמינו בברית אל ו ⬚⬚⬚ את שם ו כן פשר,ו,זכרו,ם,קדשו,ידעו,ו | זכרו | ם | קדשו | ידעו,Split-clitic noise / short-word bias,The model chose a much shorter word ('ו') instead of the target 'יחללו'.,6,האמינו ב ברית אל ו ⬚⬚⬚ את שם ו כן פשר,particle_or_too_short
היתה,מלחמה לאבד רבים ו ⬚⬚⬚ הארץ בממשלת ה,כול,כל,על,את,עם,כול | כל | על | את | עם,Needs manual inspection,The model misses 'היתה' for a reason not captured by the simple heuristics.,11,מלחמה ל אבד רבים ו ⬚⬚⬚ ה ארץ ב ממשלת ה,other
ארץ,אבד רבים והיתה ה ⬚⬚⬚ בממשלת הכתיאים ירשו,מלחמה,ם,ישראל,ה,על,מלחמה | ם | ישראל | ה | על,Needs manual inspection,The model misses 'ארץ' for a reason not captured by the simple heuristics.,69,אבד רבים ו היתה ה ⬚⬚⬚ ב ממשלת ה כתיאים ירשו,other
הולך,יאמינו בחוקי אל ה ⬚⬚⬚ למרחבי ארץ לרשת,ים,ם,ארץ,ישראל,אשר,ים | ם | ארץ | ישראל | אשר,Split-clitic noise / short-word bias,The model chose a much shorter word ('ים') instead of the target 'הולך'.,5,יאמינו ב חוקי אל ה ⬚⬚⬚ ל מרחבי ארץ ל רשת,particle_or_too_short
מרחבי,חוקי אל ההולך ל ⬚⬚⬚ ארץ לרשת משכנות לוא,יםאל,ארץאל,אלאל,יםאת,יםכל,יםאל | ארץאל | אלאל | יםאת | יםכל,Rare or unseen target word,"The target 'מרחבי' is very rare in the fit data, so the model backs off to safer guesses.",0,חוקי אל ה הולך ל ⬚⬚⬚ ארץ ל רשת משכנות לוא,rare_or_unseen
רשת,הולך למרחבי ארץ ל ⬚⬚⬚ משכנות לוא על הכתיאים,כל,כול,אל,י,שערי,כל | כול | אל | י | שערי,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'רשת'.",3,הולך ל מרחבי ארץ ל ⬚⬚⬚ משכנות לוא על ה כתיאים,same_length_semantic
משכנות,למרחבי ארץ לרשת ⬚⬚⬚ לוא על הכתיאים אשר,אשר,אל,כי,ים,על,אשר | אל | כי | ים | על,Split-clitic noise / short-word bias,The model chose a much shorter word ('אשר') instead of the target 'משכנות'.,0,ל מרחבי ארץ ל רשת ⬚⬚⬚ לוא על ה כתיאים אשר,particle_or_too_short
לוא,מרחבי ארץ לרשת משכנות ⬚⬚⬚ על הכתיאים אשר ו,אל,עולם,ים,אשר,ארץ,אל | עולם | ים | אשר | ארץ,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'לוא'.",578,מרחבי ארץ ל רשת משכנות ⬚⬚⬚ על ה כתיאים אשר ו,same_length_semantic
על,ארץ לרשת משכנות לוא ⬚⬚⬚ הכתיאים אשר ו ב,יתעו,ידעו,יהיו,כול,ילכו,יתעו | ידעו | יהיו | כול | ילכו,Needs manual inspection,The model misses 'על' for a reason not captured by the simple heuristics.,1174,ארץ ל רשת משכנות לוא ⬚⬚⬚ ה כתיאים אשר ו ב,other
כתיאים,רשת משכנות לוא על ה ⬚⬚⬚ אשר ו במישור ילכו,ארץארץ,ארץהארץ,יםארץ,ארץאל,ארץעד,ארץארץ | ארץהארץ | יםארץ | ארץאל | ארץעד,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כתיאים'.",4,רשת משכנות לוא על ה ⬚⬚⬚ אשר ו ב מישור ילכו,same_length_semantic
עמים,אפים ידברו עם כול ה ⬚⬚⬚ כיא הוא אשר אמר מגמת,רוח,ם,לב,כול,אלה,רוח | ם | לב | כול | אלה,Needs manual inspection,The model misses 'עמים' for a reason not captured by the simple heuristics.,18,אפים ידברו עם כול ה ⬚⬚⬚ כיא הוא אשר אמר מגמת,other
קדים,כיא הוא אשר אמר מגמת ⬚⬚⬚ ויאסוף כחול שבי,פני,ים,אל,פניו,פנים,פני | ים | אל | פניו | פנים,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'קדים'.",8,כיא הוא אשר אמר מגמת ⬚⬚⬚ ו יאסוף כ חול שבי,same_length_semantic
יאסוף,אשר אמר מגמת קדים ו ⬚⬚⬚ כחול שבי על ה,הוא,אשר,כול,ים,כל,הוא | אשר | כול | ים | כל,Split-clitic noise / short-word bias,The model chose a much shorter word ('הוא') instead of the target 'יאסוף'.,1,אשר אמר מגמת קדים ו ⬚⬚⬚ כ חול שבי על ה,particle_or_too_short
כתיאים,כחול שבי על ה ⬚⬚⬚ אשר והוא במלכים,כולהוא,עמיםהוא,מלךהוא,עםהוא,יםהוא,כולהוא | עמיםהוא | מלךהוא | עםהוא | יםהוא,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'כתיאים'.",4,כ חול שבי על ה ⬚⬚⬚ אשר ו הוא ב מלכים,same_length_semantic
אשר,חול שבי על הכתיאים ⬚⬚⬚ והוא במלכים יקלס,ים,ם,כול,יחד,על,ים | ם | כול | יחד | על,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'אשר'.",1396,חול שבי על ה כתיאים ⬚⬚⬚ ו הוא ב מלכים יקלס,same_length_semantic
הוא,על הכתיאים אשר ו ⬚⬚⬚ במלכים יקלס ורזנים,כול,על,כל,מלך,ם,כול | על | כל | מלך | ם,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'הוא'.",350,על ה כתיאים אשר ו ⬚⬚⬚ ב מלכים יקלס ו רזנים,same_length_semantic
מלכים,כתיאים אשר והוא ב ⬚⬚⬚ יקלס ורזנים משחק אשר,אל,אשר,ים,ם,כול,אל | אשר | ים | ם | כול,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'מלכים'.,8,כתיאים אשר ו הוא ב ⬚⬚⬚ יקלס ו רזנים משחק אשר,particle_or_too_short
ישם,שחית את הארץ ו ⬚⬚⬚ זה לאשר ישימו כול,אחר,לפני,את,עם,על,אחר | לפני | את | עם | על,Rare or unseen target word,"The target 'ישם' is very rare in the fit data, so the model backs off to safer guesses.",0,שחית את ה ארץ ו ⬚⬚⬚ זה ל אשר ישימו כול,rare_or_unseen
אשר,ארץ וישם זה ל ⬚⬚⬚ ישימו כול העמים ל,זה,וזה,לפני,אל,אלה,זה | וזה | לפני | אל | אלה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'אשר'.",1396,ארץ ו ישם זה ל ⬚⬚⬚ ישימו כול ה עמים ל,same_length_semantic
ישימו,וישם זה לאשר ⬚⬚⬚ כול העמים ל ל,על,את,כול,לפני,אל,על | את | כול | לפני | אל,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'ישימו'.,3,ו ישם זה ל אשר ⬚⬚⬚ כול ה עמים ל ל,particle_or_too_short
לוא,העמים ל ל ה ⬚⬚⬚ אתה מקדם יהוה לוא,אשר,כי,מה,כול,ה,אשר | כי | מה | כול | ה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'לוא'.",578,ה עמים ל ל ה ⬚⬚⬚ אתה מ קדם יהוה לוא,same_length_semantic
אתה,עמים ל ל הלוא ⬚⬚⬚ מקדם יהוה לוא נמות,כול,אל,א,על,ה,כול | אל | א | על | ה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'אתה'.",141,עמים ל ל ה לוא ⬚⬚⬚ מ קדם יהוה לוא נמות,same_length_semantic
קדם,ל הלוא אתה מ ⬚⬚⬚ יהוה לוא נמות יהוה ל,אתה,את,אל,לפני,ברוך,אתה | את | אל | לפני | ברוך,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'קדם'.",23,ל ה לוא אתה מ ⬚⬚⬚ יהוה לוא נמות יהוה ל,same_length_semantic
יהוה,הלוא אתה מקדם ⬚⬚⬚ לוא נמות יהוה למשפט,כי,כול,אשר,אל,עד,כי | כול | אשר | אל | עד,Split-clitic noise / short-word bias,The model chose a much shorter word ('כי') instead of the target 'יהוה'.,387,ה לוא אתה מ קדם ⬚⬚⬚ לוא נמות יהוה ל משפט,particle_or_too_short
לוא,לוא אתה מקדם יהוה ⬚⬚⬚ נמות יהוה למשפט ו,אשר,כי,כול,ולו,מה,אשר | כי | כול | ולו | מה,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'לוא'.",578,לוא אתה מ קדם יהוה ⬚⬚⬚ נמות יהוה ל משפט ו,same_length_semantic
נמות,אתה מקדם יהוה לוא ⬚⬚⬚ יהוה למשפט וצור,אתה,את,ידע,יעשה,לך,אתה | את | ידע | יעשה | לך,Rare or unseen target word,"The target 'נמות' is very rare in the fit data, so the model backs off to safer guesses.",0,אתה מ קדם יהוה לוא ⬚⬚⬚ יהוה ל משפט ו צור,rare_or_unseen
יהוה,מקדם יהוה לוא נמות ⬚⬚⬚ למשפט וצור ל,כי,כול,ולו,ולא,כה,כי | כול | ולו | ולא | כה,Split-clitic noise / short-word bias,The model chose a much shorter word ('כי') instead of the target 'יהוה'.,387,מ קדם יהוה לוא נמות ⬚⬚⬚ ל משפט ו צור ל,particle_or_too_short
יקטר,כן ישמח ויגיל ו ⬚⬚⬚ לכיא שמן וברי,על,אל,לב,אשר,כי,על | אל | לב | אשר | כי,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'יקטר'.,0,כן ישמח ו יגיל ו ⬚⬚⬚ ל כיא שמן ו ברי,particle_or_too_short
כיא,ויגיל ויקטר ל ⬚⬚⬚ שמן וברי על ה,על,לב,שר,את,אל,על | לב | שר | את | אל,Needs manual inspection,The model misses 'כיא' for a reason not captured by the simple heuristics.,295,ו יגיל ו יקטר ל ⬚⬚⬚ שמן ו ברי על ה,other
ברי,יקטר לכיא שמן ו ⬚⬚⬚ על הכתיאים ויוסיפו,אשר,ם,לב,ו,אל,אשר | ם | לב | ו | אל,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ברי'.",24,יקטר ל כיא שמן ו ⬚⬚⬚ על ה כתיאים ו יוסיפו,same_length_semantic
יומר,אשיב על ויהוה ו ⬚⬚⬚ כתוב חזון ובאר על,חזון,אשר,כתוב,ראה,כה,חזון | אשר | כתוב | ראה | כה,Rare or unseen target word,"The target 'יומר' is very rare in the fit data, so the model backs off to safer guesses.",1,אשיב על ו יהוה ו ⬚⬚⬚ כתוב חזון ו באר על,rare_or_unseen
כתוב,על ויהוה ויומר ⬚⬚⬚ חזון ובאר על ה,כל,על,דברי,כול,לו,כל | על | דברי | כול | לו,Split-clitic noise / short-word bias,The model chose a much shorter word ('כל') instead of the target 'כתוב'.,80,על ו יהוה ו יומר ⬚⬚⬚ חזון ו באר על ה,particle_or_too_short
חזון,ויהוה ויומר כתוב ⬚⬚⬚ ובאר על הלוחות,על,בספר,אל,את,אשר,על | בספר | אל | את | אשר,Split-clitic noise / short-word bias,The model chose a much shorter word ('על') instead of the target 'חזון'.,6,ו יהוה ו יומר כתוב ⬚⬚⬚ ו באר על ה לוחות,particle_or_too_short
קורא,הלוחות למען ירוץ ה ⬚⬚⬚ פשר הדבר אשר ו,את,על,אל,ספר,דבר,את | על | אל | ספר | דבר,Split-clitic noise / short-word bias,The model chose a much shorter word ('את') instead of the target 'קורא'.,0,ה לוחות למען ירוץ ה ⬚⬚⬚ פשר ה דבר אשר ו,particle_or_too_short
פשר,לוחות למען ירוץ הקורא ⬚⬚⬚ הדבר אשר וידבר,את,אל,על,כול,כל,את | אל | על | כול | כל,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'פשר'.",24,לוחות למען ירוץ ה קורא ⬚⬚⬚ ה דבר אשר ו ידבר,same_length_semantic
צדיק,לוא ירצו ב ל ו ⬚⬚⬚ ביחיה על כול עושי,אשר,אל,כול,כי,איש,אשר | אל | כול | כי | איש,Needs manual inspection,The model misses 'צדיק' for a reason not captured by the simple heuristics.,20,לוא ירצו ב ל ו ⬚⬚⬚ ב יחיה על כול עושי,other
יחיה,ב ל וצדיק ב ⬚⬚⬚ על כול עושי התורה,אל,רע,כי,ם,אשר,אל | רע | כי | ם | אשר,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'יחיה'.,6,ב ל ו צדיק ב ⬚⬚⬚ על כול עושי ה תורה,particle_or_too_short
דבר,כול יתר עמים פשר ה ⬚⬚⬚ על הכוהן אשר מרד,אל,ישראל,אשר,ם,ת,אל | ישראל | אשר | ם | ת,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'דבר'.",126,כול יתר עמים פשר ה ⬚⬚⬚ על ה כוהן אשר מרד,same_length_semantic
פשר,תזעק וכפיס מ עץ ⬚⬚⬚ הדבר על הכוהן,על,אשר,כול,אל,כי,על | אשר | כול | אל | כי,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'פשר'.",24,תזעק ו כפיס מ עץ ⬚⬚⬚ ה דבר על ה כוהן,same_length_semantic
כוהן,פשר הדבר על ה ⬚⬚⬚ אשר ץ להיות ב,דבר,איש,כול,אשר,על,דבר | איש | כול | אשר | על,Needs manual inspection,The model misses 'כוהן' for a reason not captured by the simple heuristics.,22,פשר ה דבר על ה ⬚⬚⬚ אשר ץ ל היות ב,other
את,כוס חמת אל לוסיף ⬚⬚⬚ ומכאוב ל ל ל,מים,ים,תה,אל,לב,מים | ים | תה | אל | לב,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'את'.",1430,כוס חמת אל ל וסיף ⬚⬚⬚ ו מכאוב ל ל ל,same_length_semantic
